"PlantID";"Genotype";"Treatment";"DAS";"Realtime";"side.geometry.vis.height.norm (mm)";"combined.geometry.vis.volume.iap.norm (voxel)"
"1116BA1396";"Fernandez";"normal";20;20.7466448726852;695.868869936034;17668604.7743768
"1116BA1215";"Fernandez";"dry";20;20.7474912268518;861.02078891258;16457004.0275648
"1116BA1194";"ZEA 3554";"normal";20;20.7483363078704;763.512793176972;3596217.71885548
"1116BA1020";"ZEA 1066";"normal";20;20.7491795949074;624.626865671642;9288071.21374432
"1116BA1021";"Fernandez";"dry";20;20.750023599537;897.361407249467;12808742.6170417
"1116BA1092";"Fernandez";"dry";20;20.7508628935185;1071.86833688699;16105618.1863084
"1116BA1393";"ZEA 3554";"wet";20;20.7517068981482;825.399786780384;8788238.30031534
"1116BA1022";"ZEA 3327";"dry";20;20.7525462037037;1251.05277185501;7629876.04460257
"1116BA1025";"ZEA 1008";"wet";20;20.7533883912037;915.351812366738;8057187.73592434
"1116BA1061";"ZEA 668";"dry";20;20.7542338425926;65.1252665245203;42434.7634131927
"1116BA1117";"Athletico";"normal";20;20.7550774884259;798.054371002132;16541094.8190075
"1116BA1090";"ZEA 3651";"dry";20;20.7559175115741;603.398187633262;9542680.07372108
"1116BA1120";"Fernandez";"wet";20;20.7567609722222;707.933667377399;12402545.585684
"1116BA1394";"ZEA 249";"dry";20;20.7576022569444;581.968592750533;5962487.33806045
"1116BA1395";"Fernandez";"normal";20;20.7584453587963;714.21908315565;12548878.363528
"1116BA1134";"ZEA 3572";"wet";20;20.7592850231481;683.63539445629;5435814.00453383
"1116BA1370";"Fernandez";"dry";20;20.7601293865741;1112.16684434968;18282015.7898477
"1116BA1366";"Athletico";"wet";20;20.7609692361111;653.584612802492;11849325.1445281
"1116BA1315";"ZEA 3548";"wet";20;20.7654711805556;1237.02025586354;10103881.2601744
"1116BA1323";"ZEA 472";"normal";20;20.7661936574074;788.525884861407;9669193.29024351
"1116BA1202";"ZEA 3555";"dry";20;20.7668649537037;1276.59914712154;15082740.0617576
"1116BA1042";"Fernandez";"dry";20;20.7677049768519;811.727078891258;11188524.9405134
"1116BA1172";"ZEA 3651";"dry";20;20.7693926273148;1105.69029850746;12330942.6688238
"1116BA1049";"ZEA 668";"normal";20;20.7776608564815;1093.83656722098;10258014.0717175
"1116BA1264";"Athletico";"dry";20;20.7783319675926;740.485074626866;17307712.154745
"1116BA1089";"Fernandez";"normal";20;20.7790126736111;815.897974413646;14085258.7854148
"1116BA1348";"ZEA 1008";"dry";20;20.779853599537;1226.18130063966;7307339.95655822
"1116BA1347";"ZEA 3";"normal";20;20.7806961574074;1169.69507462687;6677965.35319643
"1116BA1364";"ZEA 3327";"wet";20;20.781543599537;544.029850746269;5951935.99311253
"1116BA1361";"Fernandez";"wet";20;20.7823839814815;767.470682302772;13664168.2266176
"1116BA1316";"Fernandez";"dry";20;20.7832265393519;1005.08298348428;15782546.2532128
"1116BA1277";"ZEA 323";"wet";20;20.7840732523148;1215.07196162047;9065156.72668887
"1116BA1383";"ZEA 3554";"dry";20;20.7849125578704;585.963692743376;9358418.45886992
"1116BA1405";"ZEA 3348";"wet";20;20.7857556597222;587.566631130064;12960812.977695
"1116BA1399";"ZEA 3240";"wet";20;20.7866001967593;560.782301295108;9008426.60702186
"1116BA1400";"Fernandez";"wet";20;20.7874508912037;798.414179104478;13944106.4005253
"1116BA1051";"ZEA 852";"normal";20;20.7883053819444;1244.21641791045;8037473.20256422
"1116BA1381";"Fernandez";"wet";20;20.789145775463;703.25328358209;16528050.5023975
"1116BA1199";"ZEA 472";"wet";20;20.7899894097222;789.969711057317;7643258.18414534
"1116BA1100";"ZEA 333";"dry";20;20.7908406481481;740.485074626866;6543542.61599498
